"id","title","director","release_year","runtime","rating","metascore","gross(M)"
89,"M","Fritz Lang","1931",99,8.3,0,0.03
90,"Psycho","Alfred Hitchcock","1960",109,8.5,97,32.0
91,"The Apartment","Billy Wilder","1960",125,8.3,94,18.6
92,"The Pianist","Roman Polanski","2002",150,8.5,85,32.57
93,"The Intouchables","Olivier Nakache","2011",112,8.5,57,13.18
94,"Once Upon a Time in the West","Sergio Leone","1968",165,8.5,82,5.32
95,"Dangal","Nitesh Tiwari","2016",161,8.3,0,12.39
96,"Grave of the Fireflies","Isao Takahata","1988",89,8.5,94,0.0
97,"Rear Window","Alfred Hitchcock","1954",112,8.5,100,36.76
98,"Ikiru","Akira Kurosawa","1952",143,8.3,92,0.06
99,"Judgment at Nuremberg","Stanley Kramer","1961",179,8.3,60,0.0
100,"Kantara","Rishab Shetty","2022",148,8.3,0,0.0
101,"Cinema Paradiso","Giuseppe Tornatore","1988",155,8.5,80,11.99
102,"Double Indemnity","Billy Wilder","1944",107,8.3,95,5.72
103,"Modern Times","Charles Chaplin","1936",87,8.5,96,0.16
104,"Like Stars on Earth","Aamir Khan","2007",165,8.3,0,1.22
105,"City Lights","Charles Chaplin","1931",87,8.5,99,0.02
106,"Bicycle Thieves","Vittorio De Sica","1948",89,8.3,0,0.33
107,"96","C. Prem Kumar","2018",158,8.5,0,0.0
108,"Ayla: The Daughter of War","Can Ulkay","2017",125,8.3,0,0.0
109,"Indiana Jones and the Raiders of the Lost Ark","Steven Spielberg","1981",115,8.4,85,248.16
110,"K.G.F: Chapter 2","Prashanth Neel","2022",168,8.3,0,6.6
111,"Spider-Man: Into the Spider-Verse","Bob Persichetti","2018",117,8.4,87,190.24
112,"Vikram","Lokesh Kanagaraj","2022",175,8.3,0,0.0
113,"Avengers: Endgame","Anthony Russo","2019",181,8.4,78,858.37
114,"Chhichhore","Nitesh Tiwari","2019",143,8.3,0,0.9
115,"The Kid","Charles Chaplin","1921",68,8.3,0,5.45
116,"Shershaah","Vishnuvardhan","2021",135,8.3,0,0.0
117,"Django Unchained","Quentin Tarantino","2012",165,8.4,81,162.81
118,"Raatchasan","Ram Kumar","2018",170,8.3,0,0.0
119,"Apocalypse Now","Francis Ford Coppola","1979",147,8.4,94,83.47
120,"Aliens","James Cameron","1986",137,8.4,84,85.16
121,"Joker","Todd Phillips","2019",122,8.4,59,335.45
122,"Drishyam","Jeethu Joseph","2013",160,8.3,0,0.0
123,"Guardians of the Galaxy Vol. 3","James Gunn","2023",150,8.2,64,0.0
124,"Indiana Jones and the Last Crusade","Steven Spielberg","1989",127,8.2,65,197.17
125,"The Dark Knight Rises","Christopher Nolan","2012",164,8.4,78,448.14
126,"The Wolf of Wall Street","Martin Scorsese","2013",180,8.2,75,116.9
127,"Avengers: Infinity War","Anthony Russo","2018",149,8.4,68,678.82
128,"The Shining","Stanley Kubrick","1980",146,8.4,66,44.02
129,"Spider-Man: No Way Home","Jon Watts","2021",148,8.2,71,804.75
130,"There Will Be Blood","Paul Thomas Anderson","2007",158,8.2,93,40.22
131,"Jurassic Park","Steven Spielberg","1993",127,8.2,68,402.45
132,"Oldboy","Park Chan-wook","2003",120,8.4,77,0.71
133,"Memento","Christopher Nolan","2000",113,8.4,83,25.54
134,"Amadeus","Milos Forman","1984",160,8.4,88,51.97
135,"Shutter Island","Martin Scorsese","2010",138,8.2,63,128.01
136,"Come and See","Elem Klimov","1985",142,8.4,0,0.0
137,"No Country for Old Men","Ethan Coen","2007",122,8.2,92,74.28
138,"Coco","Lee Unkrich","2017",105,8.4,81,209.73
139,"The Thing","John Carpenter","1982",109,8.2,57,13.78
140,"Batman Begins","Christopher Nolan","2005",140,8.2,70,206.85
141,"Taxi Driver","Martin Scorsese","1976",114,8.2,94,28.26
142,"Your Name.","Makoto Shinkai","2016",106,8.4,81,5.02
143,"WALL·E","Andrew Stanton","2008",98,8.4,95,223.81
144,"1917","Sam Mendes","2019",119,8.2,78,159.23
145,"3 Idiots","Rajkumar Hirani","2009",170,8.4,67,6.53
146,"Casino","Martin Scorsese","1995",178,8.2,73,42.44
