"id","title","director","release_year","runtime","rating","metascore","gross(M)"
386,"Nobody Knows","Kore-eda Hirokazu","2004",141,8.0,88,0.68
387,"The Pursuit of Happyness","Gabriele Muccino","2006",117,8.0,64,163.57
388,"Sleuth","Joseph L. Mankiewicz","1972",138,8.0,0,4.08
389,"Big Fish","Tim Burton","2003",125,8.0,58,66.26
390,"Stalag 17","Billy Wilder","1953",120,8.0,84,0.0
391,"Secrets & Lies","Mike Leigh","1996",136,8.0,91,13.42
392,"The Diving Bell and the Butterfly","Julian Schnabel","2007",112,8.0,92,5.99
393,"Song of the Sea","Tomm Moore","2014",93,8.0,85,0.86
394,"The Sea Inside","Alejandro Amenábar","2004",126,8.0,74,2.09
395,"My Sassy Girl","Jae-young Kwak","2001",137,8.0,0,0.0
396,"Cries & Whispers","Ingmar Bergman","1972",91,8.0,0,1.74
397,"Brief Encounter","David Lean","1945",86,8.0,92,0.0
398,"Nostalghia","Andrei Tarkovsky","1983",125,8.0,0,0.01
399,"Dilwale Dulhania Le Jayenge","Aditya Chopra","1995",181,8.0,0,0.0
400,"Departures","Yôjirô Takita","2008",130,8.0,68,1.5
401,"Persepolis","Vincent Paronnaud","2007",96,8.0,90,4.45
402,"M.S. Dhoni: The Untold Story","Mathur Goswami","2016",184,8.0,0,1.78
403,"La strada","Federico Fellini","1954",108,8.0,0,0.0
404,"Black Cat, White Cat","Emir Kusturica","1998",127,8.0,73,0.35
405,"Quo Vadis, Aida?","Jasmila Zbanic","2020",101,8.0,97,0.0
406,"The Wild Pear Tree","Nuri Bilge Ceylan","2018",188,8.0,86,0.03
407,"Goodbye, Children","Louis Malle","1987",104,8.0,88,4.54
408,"Ivan's Childhood","Andrei Tarkovsky","1962",95,8.0,0,0.0
409,"Spring, Summer, Fall, Winter... and Spring","Kim Ki-duk","2003",103,8.0,85,2.38
410,"Beauty and the Beast","Gary Trousdale","1991",84,8.0,95,218.97
411,"Haider","Vishal Bhardwaj","2014",160,8.0,0,0.9
412,"Elite Squad 2: The Enemy Within","José Padilha","2010",115,8.0,71,0.1
413,"JFK","Oliver Stone","1991",189,8.0,72,70.41
414,"The Shop Around the Corner","Ernst Lubitsch","1940",99,8.0,96,0.2
415,"High Noon","Fred Zinnemann","1952",85,8.0,89,9.45
416,"Kind Hearts and Coronets","Robert Hamer","1949",106,8.0,0,0.0
417,"Planet of the Apes","Franklin J. Schaffner","1968",112,8.0,79,33.4
418,"Sanjuro","Akira Kurosawa","1962",96,8.0,0,0.0
419,"The Bourne Ultimatum","Paul Greengrass","2007",115,8.0,85,227.47
420,"The Exterminating Angel","Luis Buñuel","1962",95,8.0,0,0.0
421,"Akira","Katsuhiro Ôtomo","1988",124,8.0,67,0.55
422,"Central Station","Walter Salles","1998",110,8.0,80,5.6
423,"Rosemary's Baby","Roman Polanski","1968",137,8.0,96,0.0
424,"G.O.R.A.","Ömer Faruk Sorak","2004",127,8.0,0,0.0
425,"Rome, Open City","Roberto Rossellini","1945",103,8.0,0,0.0
426,"Perfect Blue","Satoshi Kon","1997",81,8.0,67,0.78
427,"Tae Guk Gi: The Brotherhood of War","Je-kyu Kang","2004",140,8.0,64,1.11
428,"The Invisible Guest","Oriol Paulo","2016",106,8.0,0,0.0
429,"Winter Light","Ingmar Bergman","1963",81,8.0,0,0.0
430,"Carry On, Munna Bhai","Rajkumar Hirani","2006",144,8.0,0,2.22
431,"Special 26","Neeraj Pandey","2013",144,8.0,0,1.08
432,"Kill Bill: Vol. 2","Quentin Tarantino","2004",137,8.0,83,66.21
433,"The Breath","Levent Semerci","2009",128,8.0,0,0.0
434,"Life of Brian","Terry Jones","1979",94,8.0,77,20.05
435,"Andaz Apna Apna","Rajkumar Santoshi","1994",160,8.0,0,0.0
436,"Butch Cassidy and the Sundance Kid","George Roy Hill","1969",110,8.0,66,102.31
437,"Vizontele","Yilmaz Erdogan","2001",110,8.0,0,0.0
438,"The King's Speech","Tom Hooper","2010",118,8.0,88,138.8
439,"Titanic","James Cameron","1997",194,7.9,75,659.33
440,"Dogville","Lars von Trier","2003",178,8.0,61,1.53
441,"John Wick: Chapter 4","Chad Stahelski","2023",169,7.9,78,0.0
442,"Avatar","James Cameron","2009",162,7.9,83,760.51
443,"Puss in Boots: The Last Wish","Joel Crawford","2022",102,7.9,73,168.46
444,"Zack Snyder's Justice League","Zack Snyder","2021",242,7.9,54,0.0
445,"Arrival","Denis Villeneuve","2016",116,7.9,81,100.55
446,"Fantastic Mr. Fox","Wes Anderson","2009",87,7.9,83,21.0
447,"Knives Out","Rian Johnson","2019",130,7.9,82,165.36
448,"Iron Man","Jon Favreau","2008",126,7.9,79,318.41
449,"Mulholland Drive","David Lynch","2001",147,7.9,86,7.22
450,"Harry Potter and the Prisoner of Azkaban","Alfonso Cuarón","2004",142,7.9,82,249.36
451,"Star Trek","J.J. Abrams","2009",127,7.9,82,257.73
452,"Fiddler on the Roof","Norman Jewison","1971",181,8.0,67,80.5
453,"True Romance","Tony Scott","1993",119,7.9,59,12.28
454,"Lion","Garth Davis","2016",118,8.0,69,51.74
455,"Boogie Nights","Paul Thomas Anderson","1997",155,7.9,85,26.4
456,"What Ever Happened to Baby Jane?","Robert Aldrich","1962",134,8.0,75,4.05
457,"Edward Scissorhands","Tim Burton","1990",105,7.9,74,56.36
458,"Edge of Tomorrow","Doug Liman","2014",113,7.9,71,100.21
459,"Ip Man","Wilson Yip","2008",106,8.0,59,0.0
460,"The Perks of Being a Wallflower","Stephen Chbosky","2012",103,7.9,67,17.74
461,"Sling Blade","Billy Bob Thornton","1996",135,8.0,84,24.48
462,"X-Men: Days of Future Past","Bryan Singer","2014",132,7.9,75,233.92
463,"Chungking Express","Kar-Wai Wong","1994",102,8.0,78,0.6
464,"Shaun of the Dead","Edgar Wright","2004",99,7.9,76,13.54
465,"Roman Holiday","William Wyler","1953",118,8.0,78,0.0
466,"Almost Famous","Cameron Crowe","2000",122,7.9,90,32.53
467,"Jojo Rabbit","Taika Waititi","2019",108,7.9,58,33.37
468,"Papillon","Franklin J. Schaffner","1973",151,8.0,58,53.27
469,"The Bourne Identity","Doug Liman","2002",119,7.9,68,121.66
470,"Mommy","Xavier Dolan","2014",139,8.0,74,3.49
471,"Bohemian Rhapsody","Bryan Singer","2018",134,7.9,49,216.43
472,"Being There","Hal Ashby","1979",130,8.0,83,30.18
473,"Thor: Ragnarok","Taika Waititi","2017",130,7.9,74,315.06
474,"The Last Picture Show","Peter Bogdanovich","1971",118,8.0,93,29.13
475,"Charade","Stanley Donen","1963",113,7.9,83,13.47
476,"E.T. the Extra-Terrestrial","Steven Spielberg","1982",115,7.9,92,435.11
477,"Shrek","Andrew Adamson","2001",90,7.9,84,267.67
478,"8½","Federico Fellini","1963",138,8.0,93,0.05
479,"Rope","Alfred Hitchcock","1948",80,7.9,73,0.0
480,"Annie Hall","Woody Allen","1977",93,8.0,92,39.2
481,"Life of Pi","Ang Lee","2012",127,7.9,79,124.99
482,"Nausicaä of the Valley of the Wind","Hayao Miyazaki","1984",117,8.0,86,0.5
483,"In Bruges","Martin McDonagh","2008",107,7.9,67,7.76
484,"Children of Men","Alfonso Cuarón","2006",109,7.9,84,35.55
485,"The Blues Brothers","John Landis","1980",133,7.9,60,57.23
486,"The Maltese Falcon","John Huston","1941",100,8.0,97,2.11
487,"Mystic River","Clint Eastwood","2003",138,7.9,84,90.14
488,"Solaris","Andrei Tarkovsky","1972",167,8.0,93,0.0
489,"Dallas Buyers Club","Jean-Marc Vallée","2013",117,7.9,77,27.3
490,"Castle in the Sky","Hayao Miyazaki","1986",125,8.0,78,0.0
491,"District 9","Neill Blomkamp","2009",112,7.9,81,115.65
492,"Rio Bravo","Howard Hawks","1959",141,8.0,93,12.54
493,"Marriage Story","Noah Baumbach","2019",137,7.9,94,2.0
494,"Pink Floyd: The Wall","Alan Parker","1982",95,8.0,47,22.24
495,"Wonder","Stephen Chbosky","2017",113,7.9,66,132.42
496,"Cinderella Man","Ron Howard","2005",144,8.0,69,61.65
497,"All the President's Men","Alan J. Pakula","1976",138,7.9,84,70.6
498,"Toy Story 2","John Lasseter","1999",92,7.9,88,245.85
499,"The Legend of 1900","Giuseppe Tornatore","1998",169,8.0,58,0.26
500,"The Searchers","John Ford","1956",119,7.9,94,0.0
501,"Boyhood","Richard Linklater","2014",165,7.9,100,25.38
502,"This Is Spinal Tap","Rob Reiner","1984",82,7.9,92,4.74
503,"Carlito's Way","Brian De Palma","1993",144,7.9,66,36.95
504,"The Man from Earth","Richard Schenkman","2007",87,7.9,0,0.0
505,"Bound by Honor","Taylor Hackford","1993",180,7.9,47,4.5
506,"Brazil","Terry Gilliam","1985",132,7.9,84,9.93
507,"Ghost in the Shell","Mamoru Oshii","1995",83,7.9,76,0.52
508,"The Nightmare Before Christmas","Henry Selick","1993",76,7.9,82,75.08
509,"Before Midnight","Richard Linklater","2013",109,7.9,94,8.11
510,"A Fistful of Dollars","Sergio Leone","1964",99,7.9,65,14.5
511,"Spartacus","Stanley Kubrick","1960",197,7.9,87,30.0
512,"The Wrestler","Darren Aronofsky","2008",109,7.9,80,26.24
513,"The Night of the Hunter","Charles Laughton","1955",92,8.0,97,0.65
514,"A Streetcar Named Desire","Elia Kazan","1951",122,7.9,97,8.0
515,"Fitzcarraldo","Werner Herzog","1982",158,8.0,0,0.0
516,"The Ten Commandments","Cecil B. DeMille","1956",220,7.9,0,93.74
517,"La Dolce Vita","Federico Fellini","1960",174,8.0,95,19.52
518,"Crouching Tiger, Hidden Dragon","Ang Lee","2000",120,7.9,94,128.08
519,"Gandhi","Richard Attenborough","1982",191,8.0,79,52.77
520,"Let the Right One In","Tomas Alfredson","2008",114,7.9,82,2.12
521,"Wings of Desire","Wim Wenders","1987",128,8.0,79,3.33
522,"Who's Afraid of Virginia Woolf?","Mike Nichols","1966",131,8.0,75,0.0
523,"The Wild Bunch","Sam Peckinpah","1969",135,7.9,98,12.06
524,"Infernal Affairs","Andrew Lau","2002",101,8.0,75,0.17
525,"In the Heat of the Night","Norman Jewison","1967",110,7.9,76,24.38
526,"Doctor Zhivago","David Lean","1965",197,7.9,69,111.72
527,"The Raid 2","Gareth Evans","2014",150,7.9,71,2.63
528,"The Straight Story","David Lynch","1999",112,8.0,86,6.2
529,"Nosferatu","F.W. Murnau","1922",94,7.9,0,0.0
530,"Baahubali: The Beginning","S.S. Rajamouli","2015",159,8.0,0,6.74
531,"The Manchurian Candidate","John Frankenheimer","1962",126,7.9,94,0.0
532,"Anatomy of a Murder","Otto Preminger","1959",161,8.0,95,11.9
533,"Once Were Warriors","Lee Tamahori","1994",102,7.9,77,2.2
534,"Wolfwalkers","Tomm Moore","2020",103,8.0,87,0.0
535,"Sing Street","John Carney","2016",106,7.9,79,3.24
536,"Harold and Maude","Hal Ashby","1971",91,7.9,62,0.0
537,"Togo","Ericson Core","2019",113,7.9,69,0.0
538,"Notorious","Alfred Hitchcock","1946",102,7.9,100,10.46
539,"Hero","Yimou Zhang","2002",120,7.9,85,53.71
540,"The Lion in Winter","Anthony Harvey","1968",134,7.9,0,22.28
541,"The Artist","Michel Hazanavicius","2011",100,7.9,89,44.67
542,"King Kong","Merian C. Cooper","1933",100,7.9,92,10.0
543,"Shoplifters","Kore-eda Hirokazu","2018",121,7.9,93,3.31
544,"A Christmas Story","Bob Clark","1983",93,7.9,77,20.61
545,"The Killing","Stanley Kubrick","1956",84,7.9,91,0.0
546,"Dancer in the Dark","Lars von Trier","2000",140,7.9,63,4.18
547,"Three Colors: Blue","Krzysztof Kieslowski","1993",94,7.9,87,1.32
548,"Strangers on a Train","Alfred Hitchcock","1951",101,7.9,88,7.63
549,"Short Term 12","Destin Daniel Cretton","2013",96,7.9,82,1.01
550,"The Red Circle","Jean-Pierre Melville","1970",140,7.9,92,0.37
551,"Patton","Franklin J. Schaffner","1970",172,7.9,86,61.7
552,"The Big Sleep","Howard Hawks","1946",114,7.9,86,6.54
553,"About Elly","Asghar Farhadi","2009",119,7.9,87,0.11
554,"The Philadelphia Story","George Cukor","1940",112,7.9,96,0.0
555,"Cat on a Hot Tin Roof","Richard Brooks","1958",108,7.9,84,17.57
556,"Arsenic and Old Lace","Frank Capra","1944",118,7.9,0,0.0
557,"Head-On","Fatih Akin","2004",121,7.9,78,0.0
558,"The Conformist","Bernardo Bertolucci","1970",113,7.9,100,0.54
559,"Amour","Michael Haneke","2012",127,7.9,95,6.74
560,"Talk to Her","Pedro Almodóvar","2002",112,7.9,86,9.36
561,"Kal Ho Naa Ho","Nikkhil Advani","2003",186,7.9,54,1.79
562,"The Thin Man","W.S. Van Dyke","1934",91,7.9,86,0.0
563,"The Sacrifice","Andrei Tarkovsky","1986",149,7.9,0,0.3
564,"In a Lonely Place","Nicholas Ray","1950",94,7.9,0,0.0
565,"I Remember","Federico Fellini","1973",123,7.9,0,0.58
566,"The Adventures of Robin Hood","Michael Curtiz","1938",102,7.9,97,3.98
567,"My Name Is Khan","Karan Johar","2010",165,7.9,50,4.02
568,"A Taxi Driver","Hun Jang","2017",137,7.9,69,1.53
569,"Mildred Pierce","Michael Curtiz","1945",111,7.9,88,0.0
570,"Laura","Otto Preminger","1944",88,7.9,0,4.36
571,"In Cold Blood","Richard Brooks","1967",134,7.9,89,0.0
572,"Harvey","Henry Koster","1950",104,7.9,0,0.0
573,"Sullivan's Travels","Preston Sturges","1941",90,7.9,0,0.0
574,"3-Iron","Kim Ki-duk","2004",88,7.9,72,0.24
575,"C.R.A.Z.Y.","Jean-Marc Vallée","2005",129,7.9,81,0.0
576,"The Way He Looks","Daniel Ribeiro","2014",96,7.9,71,0.1
577,"Kagemusha","Akira Kurosawa","1980",162,7.9,84,0.0
578,"Gully Boy","Zoya Akhtar","2019",154,7.9,65,5.57
579,"Miracle on 34th Street","George Seaton","1947",96,7.9,88,2.65
580,"Nine Queens","Fabián Bielinsky","2000",114,7.9,80,1.22
581,"Elevator to the Gallows","Louis Malle","1958",91,7.9,94,0.11
582,"Super 30","Vikas Bahl","2019",154,7.9,0,2.27
583,"The Lost Weekend","Billy Wilder","1945",101,7.9,0,9.46
584,"4 Months, 3 Weeks and 2 Days","Cristian Mungiu","2007",113,7.9,97,1.19
585,"Battleship Potemkin","Sergei Eisenstein","1925",66,7.9,97,0.05
586,"Beauty and the Beast","Jean Cocteau","1946",93,7.9,92,0.3
587,"Hiroshima Mon Amour","Alain Resnais","1959",90,7.9,0,0.09
588,"No Man's Land","Danis Tanovic","2001",98,7.9,84,1.06
589,"The Big Heat","Fritz Lang","1953",89,7.9,0,0.0
590,"Badhaai Ho","Amit Ravindernath Sharma","2018",124,7.9,0,0.0
591,"Through a Glass Darkly","Ingmar Bergman","1961",90,7.9,84,0.0
592,"Pad Man","R. Balki","2018",140,7.9,0,1.66
593,"Baby","Neeraj Pandey","2015",159,7.9,0,0.0
594,"Airlift","Raja Menon","2016",130,7.9,0,0.0
595,"The Batman","Matt Reeves","2022",176,7.8,72,369.35
596,"Everything Everywhere All at Once","Daniel Kwan","2022",139,7.8,81,72.86
597,"Tombstone","George P. Cosmatos","1993",130,7.8,50,56.51
598,"Little Miss Sunshine","Jonathan Dayton","2006",101,7.8,80,59.89
599,"Dunkirk","Christopher Nolan","2017",106,7.8,94,188.37
600,"A Bronx Tale","Robert De Niro","1993",121,7.8,80,17.27
601,"Moonrise Kingdom","Wes Anderson","2012",94,7.8,84,45.51
602,"The Breakfast Club","John Hughes","1985",97,7.8,66,45.88
603,"The Gentlemen","Guy Ritchie","2019",113,7.8,51,36.47
604,"Get Out","Jordan Peele","2017",104,7.8,85,176.04
605,"The Notebook","Nick Cassavetes","2004",123,7.8,53,81.0
606,"All Quiet on the Western Front","Edward Berger","2022",148,7.8,76,0.0
607,"Drive","Nicolas Winding Refn","2011",100,7.8,78,35.06
608,"Pride & Prejudice","Joe Wright","2005",129,7.8,82,38.41
609,"The Big Short","Adam McKay","2015",130,7.8,81,70.26
610,"Hot Fuzz","Edgar Wright","2007",121,7.8,81,23.64
611,"Dev.D","Anurag Kashyap","2009",144,7.9,0,0.01
612,"Call Me by Your Name","Luca Guadagnino","2017",132,7.8,94,18.1
613,"The Rules of the Game","Jean Renoir","1939",110,7.9,99,0.0
614,"RRR","S.S. Rajamouli","2022",187,7.8,83,14.5
615,"Jab We Met","Imtiaz Ali","2007",138,7.9,0,0.41
616,"About Time","Richard Curtis","2013",123,7.8,55,15.32
617,"The Hateful Eight","Quentin Tarantino","2015",168,7.8,68,54.12
618,"The Return","Andrey Zvyagintsev","2003",110,7.9,82,0.5
619,"Ghostbusters","Ivan Reitman","1984",105,7.8,71,238.63
620,"The Irishman","Martin Scorsese","2019",209,7.8,94,7.0
621,"Little Women","Greta Gerwig","2019",135,7.8,91,108.1
622,"The Girl with the Dragon Tattoo","David Fincher","2011",158,7.8,71,102.52
623,"The Sandlot","David Mickey Evans","1993",101,7.8,55,32.42
624,"Predator","John McTiernan","1987",107,7.8,47,59.74
625,"The Social Network","David Fincher","2010",120,7.8,95,96.96
626,"Isle of Dogs","Wes Anderson","2018",101,7.8,82,32.02
627,"Aftersun","Charlotte Wells","2022",102,7.7,95,0.0
628,"Remember the Titans","Boaz Yakin","2000",113,7.8,48,115.65
629,"Kingsman: The Secret Service","Matthew Vaughn","2014",129,7.7,60,128.26
630,"Ferris Bueller's Day Off","John Hughes","1986",103,7.8,61,70.14
631,"Harry Potter and the Goblet of Fire","Mike Newell","2005",157,7.7,81,290.01
632,"The Hobbit: An Unexpected Journey","Peter Jackson","2012",169,7.8,58,303.0
633,"The Hangover","Todd Phillips","2009",100,7.7,73,277.32
634,"Rogue One: A Star Wars Story","Gareth Edwards","2016",133,7.8,65,532.18
635,"Ocean's Eleven","Steven Soderbergh","2001",116,7.7,74,183.42
636,"Star Wars: Episode VII - The Force Awakens","J.J. Abrams","2015",138,7.8,80,936.66
637,"Apocalypto","Mel Gibson","2006",139,7.8,68,50.87
638,"Silver Linings Playbook","David O. Russell","2012",122,7.7,81,132.09
639,"Nightcrawler","Dan Gilroy","2014",117,7.8,76,32.38
640,"Zodiac","David Fincher","2007",157,7.7,79,33.08
641,"The Fugitive","Andrew Davis","1993",130,7.8,87,183.88
642,"Black Hawk Down","Ridley Scott","2001",144,7.7,74,108.64
643,"Hidden Figures","Theodore Melfi","2016",127,7.8,74,169.61
644,"Argo","Ben Affleck","2012",120,7.7,86,136.03
645,"American Gangster","Ridley Scott","2007",157,7.8,76,130.16
646,"A Few Good Men","Rob Reiner","1992",138,7.7,62,141.34
647,"Atonement","Joe Wright","2007",123,7.8,85,50.93
648,"Blue Is the Warmest Colour","Abdellatif Kechiche","2013",180,7.7,90,2.2
649,"The Killing Fields","Roland Joffé","1984",141,7.8,76,34.7
650,"Blazing Saddles","Mel Brooks","1974",93,7.7,73,119.5
651,"The Curious Case of Benjamin Button","David Fincher","2008",166,7.8,70,127.51
652,"Lost in Translation","Sofia Coppola","2003",102,7.7,91,44.59
653,"Captain America: Civil War","Anthony Russo","2016",147,7.8,75,408.08
654,"Evil Dead II","Sam Raimi","1987",84,7.7,72,5.92
655,"The Untouchables","Brian De Palma","1987",119,7.8,79,76.27
656,"Harry Potter and the Deathly Hallows: Part 1","David Yates","2010",146,7.7,65,295.98
657,"Taken","Pierre Morel","2008",90,7.8,51,145.0
658,"Brokeback Mountain","Ang Lee","2005",134,7.7,87,83.04
659,"Cast Away","Robert Zemeckis","2000",143,7.8,73,233.63
660,"The Last of the Mohicans","Michael Mann","1992",112,7.7,76,75.51
661,"Back to the Future Part II","Robert Zemeckis","1989",108,7.8,57,118.5
662,"Primal Fear","Gregory Hoblit","1996",129,7.7,47,56.12
663,"The Worst Person in the World","Joachim Trier","2021",128,7.8,90,0.0
664,"Wind River","Taylor Sheridan","2017",107,7.7,73,33.8
665,"Willy Wonka & the Chocolate Factory","Mel Stuart","1971",100,7.8,67,4.0
666,"X-Men: First Class","Matthew Vaughn","2011",131,7.7,65,146.41
667,"The Outlaw Josey Wales","Clint Eastwood","1976",135,7.8,69,31.8
668,"Ex Machina","Alex Garland","2014",108,7.7,78,25.44
669,"Captain America: The Winter Soldier","Anthony Russo","2014",136,7.8,70,259.77
670,"500 Days of Summer","Marc Webb","2009",95,7.7,76,32.39
671,"Skyfall","Sam Mendes","2012",143,7.8,81,304.36
672,"3:10 to Yuma","James Mangold","2007",122,7.7,76,53.61
673,"Captain Phillips","Paul Greengrass","2013",134,7.8,82,107.1
674,"Airplane!","Jim Abrahams","1980",88,7.7,78,83.4
675,"Manchester by the Sea","Kenneth Lonergan","2016",137,7.8,96,47.7
676,"And Your Mother Too","Alfonso Cuarón","2001",106,7.7,89,13.62
677,"Captain Fantastic","Matt Ross","2016",118,7.8,72,5.88
678,"Home Alone","Chris Columbus","1990",103,7.7,63,285.76
679,"The Hobbit: The Desolation of Smaug","Peter Jackson","2013",161,7.8,66,258.37
680,"Training Day","Antoine Fuqua","2001",122,7.7,69,76.63
681,"Gattaca","Andrew Niccol","1997",106,7.8,64,12.34
682,"Blue Velvet","David Lynch","1986",120,7.7,76,8.55
683,"Misery","Rob Reiner","1990",107,7.8,75,61.28
684,"Who Framed Roger Rabbit","Robert Zemeckis","1988",104,7.7,83,156.45
685,"The Last Samurai","Edward Zwick","2003",154,7.8,55,111.11
686,"Coraline","Henry Selick","2009",100,7.7,80,75.29
687,"Big Hero 6","Don Hall","2014",102,7.8,74,222.53
688,"Glengarry Glen Ross","James Foley","1992",100,7.7,82,10.73
689,"Thirteen Lives","Ron Howard","2022",147,7.8,66,0.0
690,"Wait Until Dark","Terence Young","1967",108,7.7,81,17.55
691,"Midnight Cowboy","John Schlesinger","1969",113,7.8,79,44.79
692,"The Game","David Fincher","1997",129,7.7,63,48.32
693,"Boyz n the Hood","John Singleton","1991",112,7.8,76,57.5
694,"The Count of Monte Cristo","Kevin Reynolds","2002",131,7.7,61,54.23
695,"Mr. Nobody","Jaco Van Dormael","2009",141,7.7,63,0.0
696,"I Saw the Devil","Jee-woon Kim","2010",144,7.8,67,0.13
697,"The Lego Movie","Phil Lord","2014",100,7.7,83,257.76
698,"Mary Poppins","Robert Stevenson","1964",139,7.8,88,102.27
699,"Philadelphia","Jonathan Demme","1993",125,7.7,66,77.32
700,"Walk the Line","James Mangold","2005",136,7.8,72,119.52
701,"Tangled","Nathan Greno","2010",100,7.7,71,200.82
702,"East of Eden","Elia Kazan","1955",118,7.8,72,0.0
703,"Man on Fire","Tony Scott","2004",146,7.7,47,77.91
704,"Straight Outta Compton","F. Gary Gray","2015",147,7.8,72,161.2
705,"Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu","2014",119,7.7,87,42.34
706,"The Conversation","Francis Ford Coppola","1974",113,7.8,87,4.42
707,"Deliverance","John Boorman","1972",109,7.7,80,7.06
708,"Glory","Edward Zwick","1989",122,7.8,78,26.83
709,"Awakenings","Penny Marshall","1990",121,7.8,74,52.1
710,"Serenity","Joss Whedon","2005",119,7.8,74,25.51
711,"Moon","Duncan Jones","2009",97,7.8,67,5.01
712,"The Holy Mountain","Alejandro Jodorowsky","1973",114,7.8,76,0.06
713,"The Right Stuff","Philip Kaufman","1983",193,7.8,91,21.5
714,"The Fighter","David O. Russell","2010",116,7.8,79,93.62
715,"Mississippi Burning","Alan Parker","1988",128,7.8,65,34.6
716,"The King of Comedy","Martin Scorsese","1982",109,7.8,73,2.5
717,"The Fall","Tarsem Singh","2006",117,7.8,64,2.28
718,"Paddington 2","Paul King","2017",103,7.8,88,40.44
719,"The Girl with the Dragon Tattoo","Niels Arden Oplev","2009",152,7.8,76,10.1
720,"Kiki's Delivery Service","Hayao Miyazaki","1989",103,7.8,85,0.0
721,"How to Train Your Dragon 2","Dean DeBlois","2014",102,7.8,77,177.0
722,"The Remains of the Day","James Ivory","1993",134,7.8,86,22.95
723,"Pride","Matthew Warchus","2014",119,7.8,79,0.0
724,"Hunt for the Wilderpeople","Taika Waititi","2016",101,7.8,81,5.2
725,"First Blood","Ted Kotcheff","1982",93,7.7,61,47.21
726,"The Insider","Michael Mann","1999",157,7.8,84,28.97
727,"Sense and Sensibility","Ang Lee","1995",136,7.7,84,43.18
728,"Changeling","Clint Eastwood","2008",141,7.8,63,35.74
729,"Star Trek II: The Wrath of Khan","Nicholas Meyer","1982",113,7.7,68,78.91
730,"Ed Wood","Tim Burton","1994",127,7.8,70,5.89
731,"The Fault in Our Stars","Josh Boone","2014",126,7.7,69,124.87
732,"Night of the Living Dead","George A. Romero","1968",96,7.8,89,0.09
733,"The Bourne Supremacy","Paul Greengrass","2004",108,7.7,73,176.24
734,"The Day the Earth Stood Still","Robert Wise","1951",92,7.8,83,0.0
735,"Wreck-It Ralph","Rich Moore","2012",101,7.7,72,189.42
736,"Apollo 13","Ron Howard","1995",140,7.7,77,173.84
737,"Midnight in Paris","Woody Allen","2011",94,7.7,81,56.82
738,"The Best Offer","Giuseppe Tornatore","2013",131,7.8,49,0.09
739,"Toy Story 4","Josh Cooley","2019",100,7.7,84,434.04
740,"Dawn of the Dead","George A. Romero","1978",127,7.8,71,5.1
741,"Halloween","John Carpenter","1978",91,7.7,87,47.0
742,"My Fair Lady","George Cukor","1964",170,7.8,95,72.0
743,"Another Round","Thomas Vinterberg","2020",117,7.7,79,0.0
744,"Kramer vs. Kramer","Robert Benton","1979",105,7.8,77,106.26
745,"The Machinist","Brad Anderson","2004",101,7.7,61,1.08
746,"My Left Foot","Jim Sheridan","1989",103,7.8,97,14.74
747,"O Brother, Where Art Thou?","Joel Coen","2000",107,7.7,69,45.51
748,"The Day of the Jackal","Fred Zinnemann","1973",143,7.8,80,16.06
749,"Crash","Paul Haggis","2004",112,7.7,66,54.58
750,"What's Eating Gilbert Grape","Lasse Hallström","1993",118,7.7,73,9.17
751,"Bringing Up Baby","Howard Hawks","1938",102,7.8,91,0.0
752,"The Magnificent Seven","John Sturges","1960",128,7.7,74,4.91
753,"The French Connection","William Friedkin","1971",104,7.7,94,15.63
754,"Cabaret","Bob Fosse","1972",124,7.8,80,42.77
755,"Gravity","Alfonso Cuarón","2013",91,7.7,96,274.09
756,"October Sky","Joe Johnston","1999",108,7.8,71,32.48
757,"Donnie Brasco","Mike Newell","1997",127,7.7,76,41.91
758,"Days of Heaven","Terrence Malick","1978",94,7.8,93,0.0
759,"The Trial of the Chicago 7","Aaron Sorkin","2020",129,7.7,76,0.0
760,"Guess Who's Coming to Dinner","Stanley Kramer","1967",108,7.8,63,56.7
761,"As Good as It Gets","James L. Brooks","1997",139,7.7,67,148.48
762,"Once","John Carney","2007",86,7.8,90,9.44
763,"Road to Perdition","Sam Mendes","2002",117,7.7,72,104.45
764,"Aguirre, the Wrath of God","Werner Herzog","1972",95,7.8,0,0.0
765,"The Boondock Saints","Troy Duffy","1999",108,7.7,44,0.03
766,"Freaks","Tod Browning","1932",64,7.8,80,0.63
767,"Naked","Mike Leigh","1993",131,7.7,85,1.77
768,"Empire of the Sun","Steven Spielberg","1987",153,7.7,62,22.24
769,"The Color Purple","Steven Spielberg","1985",154,7.7,78,98.47
770,"All About My Mother","Pedro Almodóvar","1999",101,7.8,87,8.26
771,"Sound of Metal","Darius Marder","2019",120,7.7,82,0.0
772,"When Harry Met Sally...","Rob Reiner","1989",95,7.7,76,92.82
773,"All That Jazz","Bob Fosse","1979",123,7.8,72,37.82
774,"The Boy in the Striped Pajamas","Mark Herman","2008",94,7.7,55,9.03
775,"Letters from Iwo Jima","Clint Eastwood","2006",141,7.8,89,13.76
776,"A Man Called Ove","Hannes Holm","2015",116,7.7,70,3.48
777,"Lilya 4-Ever","Lukas Moodysson","2002",109,7.8,83,0.18
778,"Star Trek Into Darkness","J.J. Abrams","2013",132,7.7,72,228.78
